dq,extra_stats,matches_played,qual_average,rank,record,sort_orders,team_key
0,[28],10,,1,"{'losses': 1, 'ties': 0, 'wins': 9}","[2.8, 201.0, 104.0, 162.0, 105.0, 0.0]",frc1658
0,[26],10,,2,"{'losses': 2, 'ties': 0, 'wins': 8}","[2.6, 132.0, 108.0, 189.0, 114.0, 0.0]",frc4931
0,[24],10,,3,"{'losses': 3, 'ties': 0, 'wins': 7}","[2.4, 180.0, 60.0, 180.0, 117.0, 0.0]",frc1501
0,[24],10,,4,"{'losses': 1, 'ties': 0, 'wins': 9}","[2.4, 177.0, 94.0, 144.0, 108.0, 0.0]",frc4256
0,[24],10,,5,"{'losses': 3, 'ties': 1, 'wins': 6}","[2.4, 87.0, 90.0, 186.0, 123.0, 0.0]",frc4356
0,[22],10,,6,"{'losses': 1, 'ties': 1, 'wins': 8}","[2.2, 258.0, 104.0, 114.0, 111.0, 0.0]",frc1259
0,[22],10,,7,"{'losses': 4, 'ties': 0, 'wins': 6}","[2.2, 195.0, 96.0, 180.0, 102.0, 0.0]",frc4143
0,[22],10,,8,"{'losses': 3, 'ties': 0, 'wins': 7}","[2.2, 150.0, 72.0, 150.0, 120.0, 0.0]",frc5176
0,[21],10,,9,"{'losses': 4, 'ties': 0, 'wins': 6}","[2.1, 135.0, 80.0, 177.0, 120.0, 0.0]",frc4329
0,[19],10,,10,"{'losses': 3, 'ties': 0, 'wins': 7}","[1.9, 186.0, 104.0, 120.0, 123.0, 0.0]",frc4213
0,[19],10,,11,"{'losses': 3, 'ties': 0, 'wins': 7}","[1.9, 153.0, 78.0, 132.0, 120.0, 0.0]",frc7773
0,[18],10,,12,"{'losses': 2, 'ties': 0, 'wins': 8}","[1.8, 201.0, 56.0, 120.0, 129.0, 0.0]",frc4500
0,[17],10,,13,"{'losses': 3, 'ties': 0, 'wins': 7}","[1.7, 171.0, 44.0, 93.0, 129.0, 0.0]",frc3330
0,[17],10,,14,"{'losses': 3, 'ties': 1, 'wins': 6}","[1.7, 102.0, 92.0, 108.0, 102.0, 0.0]",frc706
0,[15],10,,15,"{'losses': 4, 'ties': 0, 'wins': 6}","[1.5, 168.0, 54.0, 108.0, 99.0, 0.0]",frc2978
0,[14],10,,16,"{'losses': 4, 'ties': 0, 'wins': 6}","[1.4, 189.0, 84.0, 84.0, 114.0, 0.0]",frc1444
0,[14],10,,17,"{'losses': 5, 'ties': 0, 'wins': 5}","[1.4, 153.0, 60.0, 123.0, 120.0, 0.0]",frc931
0,[14],10,,18,"{'losses': 4, 'ties': 0, 'wins': 6}","[1.4, 144.0, 90.0, 108.0, 123.0, 0.0]",frc7747
0,[14],10,,19,"{'losses': 5, 'ties': 0, 'wins': 5}","[1.4, 144.0, 38.0, 87.0, 93.0, 0.0]",frc7435
0,[14],10,,20,"{'losses': 4, 'ties': 2, 'wins': 4}","[1.4, 84.0, 64.0, 135.0, 120.0, 0.0]",frc7452
0,[13],10,,21,"{'losses': 5, 'ties': 0, 'wins': 5}","[1.3, 177.0, 78.0, 108.0, 96.0, 0.0]",frc6744
0,[13],10,,22,"{'losses': 4, 'ties': 1, 'wins': 5}","[1.3, 150.0, 68.0, 102.0, 87.0, 0.0]",frc1178
0,[13],10,,23,"{'losses': 4, 'ties': 0, 'wins': 6}","[1.3, 129.0, 60.0, 81.0, 84.0, 0.0]",frc1288
0,[13],10,,24,"{'losses': 5, 'ties': 0, 'wins': 5}","[1.3, 126.0, 92.0, 84.0, 102.0, 0.0]",frc1706
0,[13],10,,25,"{'losses': 4, 'ties': 1, 'wins': 5}","[1.3, 102.0, 46.0, 90.0, 102.0, 0.0]",frc7117
0,[13],10,,26,"{'losses': 6, 'ties': 0, 'wins': 4}","[1.3, 99.0, 64.0, 117.0, 93.0, 0.0]",frc5326
0,[13],10,,27,"{'losses': 5, 'ties': 0, 'wins': 5}","[1.3, 87.0, 82.0, 108.0, 93.0, 0.0]",frc7472
0,[12],10,,28,"{'losses': 5, 'ties': 0, 'wins': 5}","[1.2, 174.0, 56.0, 102.0, 105.0, 0.0]",frc3397
0,[12],10,,29,"{'losses': 6, 'ties': 0, 'wins': 4}","[1.2, 138.0, 62.0, 114.0, 117.0, 0.0]",frc4232
0,[12],10,,30,"{'losses': 6, 'ties': 0, 'wins': 4}","[1.2, 96.0, 84.0, 114.0, 99.0, 0.0]",frc1985
0,[11],10,,31,"{'losses': 6, 'ties': 0, 'wins': 4}","[1.1, 162.0, 62.0, 81.0, 99.0, 0.0]",frc1208
0,[11],10,,32,"{'losses': 6, 'ties': 0, 'wins': 4}","[1.1, 135.0, 74.0, 99.0, 96.0, 0.0]",frc3197
0,[11],10,,33,"{'losses': 6, 'ties': 0, 'wins': 4}","[1.1, 93.0, 60.0, 114.0, 96.0, 0.0]",frc6817
0,[10],10,,34,"{'losses': 7, 'ties': 0, 'wins': 3}","[1.0, 132.0, 46.0, 87.0, 84.0, 0.0]",frc7746
0,[10],10,,35,"{'losses': 6, 'ties': 1, 'wins': 3}","[1.0, 111.0, 46.0, 93.0, 111.0, 0.0]",frc4187
0,[10],10,,36,"{'losses': 7, 'ties': 0, 'wins': 3}","[1.0, 108.0, 76.0, 135.0, 111.0, 0.0]",frc4246
0,[9],10,,37,"{'losses': 5, 'ties': 1, 'wins': 4}","[0.9, 207.0, 98.0, 72.0, 93.0, 0.0]",frc1329
0,[9],10,,38,"{'losses': 7, 'ties': 1, 'wins': 2}","[0.9, 117.0, 70.0, 102.0, 126.0, 0.0]",frc6391
0,[9],10,,39,"{'losses': 7, 'ties': 0, 'wins': 3}","[0.9, 111.0, 44.0, 84.0, 69.0, 0.0]",frc5836
0,[9],10,,40,"{'losses': 6, 'ties': 1, 'wins': 3}","[0.9, 105.0, 60.0, 90.0, 105.0, 0.0]",frc2707
0,[8],10,,41,"{'losses': 7, 'ties': 0, 'wins': 3}","[0.8, 117.0, 42.0, 84.0, 108.0, 0.0]",frc7496
0,[8],10,,42,"{'losses': 8, 'ties': 0, 'wins': 2}","[0.8, 102.0, 52.0, 102.0, 102.0, 0.0]",frc5060
0,[8],10,,43,"{'losses': 7, 'ties': 0, 'wins': 3}","[0.8, 81.0, 28.0, 90.0, 123.0, 0.0]",frc5583
0,[8],10,,44,"{'losses': 6, 'ties': 1, 'wins': 3}","[0.8, 60.0, 88.0, 93.0, 99.0, 0.0]",frc2010
0,[7],10,,45,"{'losses': 7, 'ties': 0, 'wins': 3}","[0.7, 135.0, 66.0, 63.0, 117.0, 0.0]",frc4330
0,[7],10,,46,"{'losses': 7, 'ties': 0, 'wins': 3}","[0.7, 114.0, 62.0, 96.0, 126.0, 0.0]",frc5147
0,[6],10,,47,"{'losses': 8, 'ties': 0, 'wins': 2}","[0.6, 90.0, 50.0, 90.0, 99.0, 0.0]",frc2408
0,[3],10,,48,"{'losses': 9, 'ties': 0, 'wins': 1}","[0.3, 102.0, 48.0, 69.0, 96.0, 0.0]",frc6660
